run_date,ticker,sector,score,entry_price,original_stop,atr,exit_price,exit_day,exit_reason,peak_close,final_stop,stop_moved,return_pct,prob,allocation_pct
2025-04-28 20:32,SSPG,Retail,80,143.27,137.48,5.7835,155.86,4,friday_close,158.46,137.48,False,8.79,61.7,19.6
2025-04-28 20:32,WOSG,ConsStaples,80,360.8,338.87,21.9291,349.4,4,friday_close,360.8,338.87,False,-3.16,61.7,19.6
2025-05-05 20:32,BATS,ConsStaples,75,3223.49,3161.66,61.8297,3161.66,4,stop_hit,3294.46,3161.66,False,-1.92,60.7,20.0
2025-05-05 20:32,CTEC,Pharma,75,261.98,255.62,6.3625,261.98,5,friday_close,261.98,255.62,False,0.0,60.7,20.0
2025-05-05 20:32,LSEG,FinServices,75,11564.41,11255.86,308.543,11294.42,5,friday_close,11624.4,11255.86,False,-2.33,60.7,20.0
2025-05-05 20:32,PRU,Insurance,75,819.15,794.28,24.8752,871.15,5,friday_close,871.15,794.28,False,6.35,60.7,20.0
2025-05-05 20:32,RR,Industrials,75,783.97,753.45,30.5148,784.97,5,friday_close,793.97,753.45,False,0.13,60.7,20.0
2025-05-12 20:32,HSX,Insurance,85,1149.91,1120.26,29.6482,1188.9,5,friday_close,1188.9,1120.26,False,3.39,62.8,23.0
2025-05-12 20:32,CTEC,Pharma,75,261.98,256.09,5.8954,275.78,5,friday_close,275.78,256.09,False,5.27,60.7,19.2
2025-05-12 20:32,LLOY,Banking,75,73.03,71.17,1.8599,75.83,5,friday_close,75.83,71.17,False,3.83,60.7,19.2
2025-05-12 20:32,DOM,Leisure,75,272.55,264.59,7.9667,267.35,5,friday_close,272.55,264.59,False,-1.91,60.7,19.2
2025-05-12 20:32,JII,FinServices,75,1025.77,1002.79,22.9862,1081.76,5,friday_close,1081.76,1002.79,False,5.46,60.7,19.2
2025-05-19 20:32,CNA,Utilities,85,151.98,148.22,3.7616,158.58,4,friday_close,158.98,148.22,False,4.34,62.8,21.4
2025-05-19 20:32,REL,Media,85,4105.78,4027.96,77.825,4112.78,4,friday_close,4128.78,4027.96,False,0.17,62.8,21.4
2025-05-19 20:32,AZN,Pharma,80,10370.22,10071.08,299.1352,10434.21,4,friday_close,10490.2,10071.08,False,0.62,61.7,19.6
2025-05-19 20:32,BHMG,FinServices,80,393.5,386.38,7.1203,392.0,4,friday_close,394.5,386.38,False,-0.38,61.7,19.6
2025-05-19 20:32,ABF,ConsStaples,75,2086.38,2030.47,55.9134,2083.38,4,friday_close,2140.36,2030.47,False,-0.14,60.7,17.9
2025-05-26 20:32,III,FinServices,85,4116.11,4004.67,111.4425,4061.13,5,friday_close,4136.11,4004.67,False,-1.34,62.8,22.2
2025-05-26 20:32,TBCG,Banking,85,4577.0,4396.91,180.0914,4437.09,5,friday_close,4606.98,4396.91,False,-3.06,62.8,22.2
2025-05-26 20:32,NG,Utilities,75,1090.53,1067.78,22.7493,1067.78,3,stop_hit,1090.53,1067.78,False,-2.09,60.7,18.5
2025-05-26 20:32,ITV,Media,75,78.03,75.55,2.4778,77.78,5,friday_close,78.68,75.55,False,-0.32,60.7,18.5
2025-05-26 20:32,PNN,Energy,75,513.73,498.85,14.8815,508.23,5,friday_close,513.73,498.85,False,-1.07,60.7,18.5
2025-06-02 20:32,PAGE,Industrials,90,271.74,261.83,9.9138,275.94,5,friday_close,275.94,261.83,False,1.55,63.8,23.1
2025-06-02 20:32,TFIF,FinServices,85,110.54,108.96,1.5776,111.94,5,friday_close,111.94,108.96,False,1.27,62.8,21.4
