run_date,ticker,sector,score,entry_price,stop_price,atr,exit_price,exit_day,exit_reason,trigger_close,trigger_day,return_pct,prob,allocation_pct
2025-04-21 22:56,SDP,FinServices,90,491.4,479.86,11.5451,501.9,5,friday_close,,,2.14,63.8,20.9
2025-04-21 22:56,CCEP,ConsStaples,85,6767.99,6591.71,176.2784,6568.05,5,friday_close,,,-2.95,62.8,19.4
2025-04-21 22:56,HSX,Insurance,85,1170.68,1133.69,36.9884,1130.91,4,stop_next_open,1125.91,3,-3.4,62.8,19.4
2025-04-21 22:56,LLOY,Banking,85,70.31,67.8,2.5065,72.89,5,friday_close,,,3.67,62.8,19.4
2025-04-28 22:56,SAGA,FinServices,85,138.8,130.33,8.4746,133.6,5,friday_close,,,-3.75,62.8,21.5
2025-04-28 22:56,SN,Pharma,80,997.92,972.85,25.067,1067.41,5,friday_close,,,6.96,61.7,19.6
2025-04-28 22:56,RS1,Industrials,80,513.8,492.9,20.9013,516.3,5,friday_close,,,0.49,61.7,19.6
2025-04-28 22:56,SSPG,Retail,80,143.27,137.48,5.7835,158.46,5,friday_close,,,10.61,61.7,19.6
2025-04-28 22:56,WOSG,ConsStaples,80,360.8,338.87,21.9291,346.8,5,friday_close,,,-3.88,61.7,19.6
2025-05-05 22:56,BATS,ConsStaples,75,3223.49,3161.66,61.8297,3124.54,5,stop_next_open,3133.54,4,-3.07,60.7,20.0
2025-05-05 22:56,CTEC,Pharma,75,261.98,255.62,6.3625,261.98,5,friday_close,,,0.0,60.7,20.0
2025-05-05 22:56,LSEG,FinServices,75,11564.41,11255.86,308.543,11294.42,5,friday_close,,,-2.33,60.7,20.0
2025-05-05 22:56,PRU,Insurance,75,819.15,794.28,24.8752,871.15,5,friday_close,,,6.35,60.7,20.0
2025-05-05 22:56,RR,Industrials,75,783.97,753.45,30.5148,784.97,5,friday_close,,,0.13,60.7,20.0
2025-05-12 22:56,HSX,Insurance,85,1149.91,1120.26,29.6482,1188.9,5,friday_close,,,3.39,62.8,23.0
2025-05-12 22:56,CTEC,Pharma,75,261.98,256.09,5.8954,275.78,5,friday_close,,,5.27,60.7,19.2
2025-05-12 22:56,LLOY,Banking,75,73.03,71.17,1.8599,75.83,5,friday_close,,,3.83,60.7,19.2
2025-05-12 22:56,DOM,Leisure,75,272.55,264.59,7.9667,267.35,5,friday_close,,,-1.91,60.7,19.2
2025-05-12 22:56,JII,FinServices,75,1025.77,1002.79,22.9862,1081.76,5,friday_close,,,5.46,60.7,19.2
2025-05-19 22:56,CNA,Utilities,85,151.98,148.22,3.7616,156.13,5,friday_close,,,2.73,62.8,21.4
2025-05-19 22:56,REL,Media,85,4105.78,4027.96,77.825,4122.78,5,friday_close,,,0.41,62.8,21.4
2025-05-19 22:56,AZN,Pharma,80,10370.22,10071.08,299.1353,10482.2,5,friday_close,,,1.08,61.7,19.6
2025-05-19 22:56,BHMG,FinServices,80,393.5,386.38,7.1203,391.0,5,friday_close,,,-0.64,61.7,19.6
2025-05-19 22:56,ABF,ConsStaples,75,2086.38,2030.47,55.9134,2108.37,5,friday_close,,,1.05,60.7,17.9
2025-05-26 22:56,III,FinServices,85,4116.11,4004.67,111.4425,4061.13,5,friday_close,,,-1.34,62.8,22.2
2025-05-26 22:56,TBCG,Banking,85,4577.0,4396.91,180.0914,4437.09,5,friday_close,,,-3.06,62.8,22.2
2025-05-26 22:56,NG,Utilities,75,1090.53,1067.78,22.7493,1041.35,4,stop_next_open,1030.85,3,-4.51,60.7,18.5
2025-05-26 22:56,ITV,Media,75,78.03,75.55,2.4778,77.78,5,friday_close,,,-0.32,60.7,18.5
2025-05-26 22:56,PNN,Energy,75,513.73,498.85,14.8815,508.23,5,friday_close,,,-1.07,60.7,18.5
2025-06-02 22:56,PAGE,Industrials,90,271.74,261.83,9.9138,275.94,5,friday_close,,,1.55,63.8,23.1
2025-06-02 22:56,TFIF,FinServices,85,110.54,108.96,1.5776,111.94,5,friday_close,,,1.27,62.8,21.4
2025-06-02 22:56,BAG,ConsStaples,80,693.96,677.08,16.8886,683.96,5,friday_close,,,-1.44,61.7,19.6
2025-06-02 22:56,BEZ,Insurance,75,948.0,925.67,22.3315,964.0,5,friday_close,,,1.69,60.7,17.9
2025-06-02 22:56,GAW,ConsDis,75,15506.49,15134.86,371.6216,16106.35,5,friday_close,,,3.87,60.7,17.9
2025-06-09 22:56,FCSS,FinServices,95,255.41,248.68,6.7273,258.91,5,friday_close,,,1.37,64.9,23.0
2025-06-09 22:56,FOUR,Media,90,3469.38,3329.05,140.3234,3519.37,5,friday_close,,,1.44,63.8,21.3
2025-06-09 22:56,WEIR,Industrials,85,2455.83,2410.26,45.5688,2535.82,5,friday_close,,,3.26,62.8,19.7
2025-06-09 22:56,GFRD,Materials,80,409.39,394.22,15.1762,411.89,5,friday_close,,,0.61,61.7,18.0
2025-06-09 22:56,MTRO,Banking,80,114.8,108.75,6.0514,132.8,5,friday_close,,,15.68,61.7,18.0
2025-06-16 22:56,NG,Utilities,100,1052.85,1036.25,16.5986,1076.85,5,friday_close,,,2.28,65.9,23.3
2025-06-16 22:56,PPET,FinServices,95,561.87,546.12,15.7555,558.92,5,friday_close,,,-0.53,64.9,21.9
2025-06-16 22:56,CCH,ConsStaples,85,3918.0,3858.83,59.172,3850.0,5,friday_close,,,-1.74,62.8,18.8
2025-06-16 22:56,DNLM,Retail,85,1178.72,1144.83,33.8884,1167.72,5,friday_close,,,-0.93,62.8,18.8
