run_date,ticker,sector,score,price_p,target_p,stop_p,limit_p,upside_pct,downside_pct,prob,reward_risk,atr,allocated_gbp,allocation_pct,shares,signals,outcome_price_p,outcome_hit,outcome_return_pct,outcome_notes
2025-10-09 16:25,RKT,Materials,75,5974.77783203125,6063.15,5886.41,6032.83,1.48,1.48,60.7,1.0,88.369,,17.9,,RSI 60 | MACD bullish crossover | EMA20>EMA50>SMA200 | Mom +0.8%,6043.5,NO,1.15,Backtest: Target missed. +1.2%
2025-10-09 16:25,SHEL,Energy,75,2775.890869140625,2816.81,2734.97,2802.73,1.47,1.47,60.7,1.0,40.9216,,17.9,,RSI 64 | MACD rising | EMA20>EMA50>SMA200 | OBV rising | Mom +4.0%,2675.91,NO,-3.6,Backtest: Target missed. -3.6%
2025-10-16 16:25,INPP,FinServices,95,124.15803527832031,126.11,122.2,125.48,1.57,1.58,64.9,1.0,1.9531,,25.4,,RSI 58 | MACD bullish crossover | EMA20>EMA50>SMA200 | Stoch 62/53 | OBV rising | Mom +1.6%,126.16,YES,1.61,Backtest: Target reached. +1.6%
2025-10-16 16:25,WPP,Media,80,357.3999938964844,369.08,345.72,367.23,3.27,3.27,61.7,1.0,11.6754,,19.9,,RSI 45 | MACD bullish crossover | BB %B 0.49 | Stoch 51/33 | Mom +3.3%,362.8,NO,1.51,Backtest: Target missed. +1.5%
2025-10-16 16:25,SPX,Industrials,75,6815.0,6976.48,6653.52,6941.6,2.37,2.37,60.7,1.0,161.4811,,18.2,,RSI 46 | BB %B 0.31 | EMA20>EMA50>SMA200 | Stoch 32/15 | OBV rising,6935.0,NO,1.76,Backtest: Target missed. +1.8%
2025-10-16 16:25,VOD,Telecoms,75,85.9817123413086,87.36,84.61,86.92,1.6,1.6,60.7,1.0,1.3738,,18.2,,RSI 54 | MACD rising | EMA20>EMA50>SMA200 | OBV rising | Mom +0.7%,87.94,YES,2.28,Backtest: Target reached. +2.3%
2025-10-16 16:25,ALFA,Tech,75,229.5,237.65,221.35,236.46,3.55,3.55,60.7,1.0,8.1492,,18.2,,RSI 47 | BB %B 0.31 | EMA20>EMA50>SMA200 | Stoch 32/18 | OBV rising,230.5,NO,0.44,Backtest: Target missed. +0.4%
2025-10-23 16:25,LLOY,Banking,95,85.45999908447266,87.2,83.72,86.76,2.04,2.04,64.9,1.0,1.7381,,20.6,,RSI 58 | MACD bullish crossover | EMA20>EMA50>SMA200 | Stoch 76/54 | OBV rising | Mom +1.2%,88.82,YES,3.93,Backtest: Target reached. +3.9%
2025-10-23 16:25,ROR,Industrials,95,342.0,348.39,335.61,346.65,1.87,1.87,64.9,1.0,6.3925,,20.6,,RSI 55 | MACD bullish crossover | EMA20>EMA50>SMA200 | Stoch 69/54 | OBV rising | Mom +2.3%,346.2,NO,1.23,Backtest: Target missed. +1.2%
2025-10-23 16:25,FAN,Materials,95,672.9177856445312,693.34,652.5,689.87,3.03,3.03,64.9,1.0,20.4221,,20.6,,RSI 60 | MACD bullish crossover | EMA20>EMA50>SMA200 | Stoch 53/41 | OBV rising | Mom +3.5%,662.92,NO,-1.49,Backtest: Target missed. -1.5%
2025-10-23 16:25,PAG,FinServices,90,845.2205810546875,864.97,825.47,860.65,2.34,2.34,63.8,1.0,19.7499,,19.1,,RSI 46 | MACD bullish crossover | BB %B 0.45 | Stoch 66/50 | OBV rising | Mom +1.1%,832.72,NO,-1.48,Backtest: Target missed. -1.5%
2025-10-23 16:25,VCT,Chemicals,90,665.5819091796875,686.29,644.87,682.86,3.11,3.11,63.8,1.0,20.7129,,19.1,,RSI 46 | MACD bullish crossover | BB %B 0.43 | Stoch 43/35 | OBV rising | Mom +2.9%,648.59,NO,-2.55,Backtest: Target missed. -2.6%
2025-10-30 16:25,AV,Insurance,95,675.5999755859375,686.16,665.04,682.73,1.56,1.56,64.9,1.0,10.5632,,23.7,,RSI 54 | MACD bullish crossover | EMA20>EMA50>SMA200 | Stoch 71/65 | OBV rising | Mom +1.5%,676.6,NO,0.15,Backtest: Target missed. +0.1%
2025-10-30 16:25,SDR,FinServices,85,382.0,389.52,374.48,387.57,1.97,1.97,62.8,1.0,7.5187,,20.3,,RSI 49 | BB %B 0.37 | EMA20>EMA50>SMA200 | Stoch 46/45 | OBV rising | Mom +2.7%,388.0,NO,1.57,Backtest: Target missed. +1.6%
2025-10-30 16:25,SPX,Industrials,85,7190.0,7347.54,7032.46,7310.8,2.19,2.19,62.8,1.0,157.5433,,20.3,,RSI 61 | MACD rising | EMA20>EMA50>SMA200 | Stoch 80/76 | OBV rising | Mom +3.7%,7045.0,NO,-2.02,Backtest: Target missed. -2.0%
2025-10-30 16:25,AEP,ConsStaples,80,1315.0,1357.82,1272.18,1351.03,3.26,3.26,61.7,1.0,42.8229,,18.6,,RSI 51 | BB %B 0.43 | EMA20>EMA50>SMA200 | Stoch 54/51 | OBV rising | Mom -0.4%,1275.0,NO,-3.04,Backtest: Target missed. -3.0%
2025-10-30 16:25,AZN,Pharma,75,12544.7119140625,12778.46,12310.96,12714.57,1.86,1.86,60.7,1.0,233.7489,,17.0,,RSI 58 | BB %B 0.34 | EMA20>EMA50>SMA200 | Stoch 34/26 | OBV rising,12832.68,YES,2.3,Backtest: Target reached. +2.3%
2025-11-06 16:25,LRE,Insurance,90,666.418701171875,683.64,649.2,680.22,2.58,2.58,63.8,1.0,17.2223,,22.3,,RSI 55 | MACD bullish crossover | EMA20>EMA50>SMA200 | Stoch 59/57 | OBV rising | Mom -0.7%,593.0,NO,-11.02,Backtest: Target missed. -11.0%
2025-11-06 16:25,SEQI,FinServices,90,77.48351287841797,78.64,76.33,78.25,1.49,1.49,63.8,1.0,1.1562,,22.3,,RSI 50 | MACD bullish crossover | BB %B 0.45 | Stoch 41/38 | OBV rising | Mom +0.9%,79.18,YES,2.19,Backtest: Target reached. +2.2%
2025-11-06 16:25,PAF,Mining,85,85.88615417480469,90.32,81.45,89.87,5.16,5.17,62.8,1.0,4.4372,,20.7,,RSI 51 | BB %B 0.42 | EMA20>EMA50>SMA200 | Stoch 59/40 | OBV rising | Mom +2.0%,96.58,YES,12.46,Backtest: Target reached. +12.5%
2025-11-06 16:25,VOD,Telecoms,75,87.14147186279297,89.02,85.27,88.57,2.16,2.15,60.7,1.0,1.8764,,17.3,,RSI 48 | BB %B 0.43 | EMA20>EMA50>SMA200 | Stoch 22/19 | OBV rising,95.36,YES,9.43,Backtest: Target reached. +9.4%
2025-11-06 16:25,FSG,Banking,75,470.9136657714844,482.75,459.07,480.34,2.51,2.52,60.7,1.0,11.8394,,17.3,,RSI 54 | MACD rising | EMA20>EMA50>SMA200 | OBV rising | Mom +3.5%,482.41,NO,2.44,Backtest: Target missed. +2.4%
2025-11-13 16:25,SPX,Industrials,95,7160.0,7328.75,6991.25,7292.11,2.36,2.36,64.9,1.0,168.7519,,22.2,,RSI 57 | MACD bullish crossover | EMA20>EMA50>SMA200 | Stoch 52/49 | OBV rising | Mom +1.6%,6745.0,NO,-5.8,Backtest: Target missed. -5.8%
2025-11-13 16:25,IPF,FinServices,95,206.0,210.8,201.2,209.75,2.33,2.33,64.9,1.0,4.7993,,22.2,,RSI 50 | MACD bullish crossover | EMA20>EMA50>SMA200 | Stoch 62/52 | OBV rising | Mom +2.5%,206.0,NO,0.0,Backtest: Target missed. +0.0%
2025-11-13 16:25,DRX,Energy,85,750.0,771.07,728.93,767.21,2.81,2.81,62.8,1.0,21.0718,,19.1,,RSI 62 | MACD bullish crossover | EMA20>EMA50>SMA200 | Stoch 78/53 | Mom +2.7%,719.0,NO,-4.13,Backtest: Target missed. -4.1%
2025-11-13 16:25,KLR,Materials,85,1544.0,1597.73,1490.27,1589.74,3.48,3.48,62.8,1.0,53.7258,,19.1,,RSI 53 | BB %B 0.47 | EMA20>EMA50>SMA200 | Stoch 63/43 | OBV rising | Mom +1.6%,1530.0,NO,-0.91,Backtest: Target missed. -0.9%
2025-11-13 16:25,KGF,Retail,80,308.0,314.11,301.89,312.54,1.98,1.98,61.7,1.0,6.113,,17.4,,RSI 55 | BB %B 0.44 | EMA20>EMA50>SMA200 | Stoch 41/40 | OBV rising | Mom -0.8%,288.4,NO,-6.36,Backtest: Target missed. -6.4%
2025-11-20 16:25,SMWH,Retail,90,645.4432983398438,669.19,621.69,665.84,3.68,3.68,63.8,1.0,23.7491,,21.6,,RSI 47 | MACD bullish crossover | BB %B 0.39 | Stoch 66/49 | OBV rising | Mom +0.5%,689.94,YES,6.89,Backtest: Target reached. +6.9%
2025-11-20 16:25,APN,ConsStaples,85,173.39999389648438,180.64,166.16,179.74,4.18,4.18,62.8,1.0,7.236,,20.0,,RSI 51 | BB %B 0.50 | EMA20>EMA50>SMA200 | Stoch 42/20 | OBV rising | Mom +0.8%,172.6,NO,-0.46,Backtest: Target missed. -0.5%
2025-11-20 16:25,HVPE,FinServices,85,2960.0,3021.07,2898.93,3005.96,2.06,2.06,62.8,1.0,61.071,,20.0,,RSI 51 | BB %B 0.39 | EMA20>EMA50>SMA200 | Stoch 45/21 | OBV rising | Mom +0.9%,3090.0,YES,4.39,Backtest: Target reached. +4.4%
2025-11-20 16:25,BGEO,Banking,85,8159.3525390625,8418.33,7900.37,8376.24,3.17,3.17,62.8,1.0,258.982,,20.0,,RSI 61 | MACD bullish crossover | EMA20>EMA50>SMA200 | OBV rising | Mom +0.7%,8849.3,YES,8.46,Backtest: Target reached. +8.5%
2025-11-20 16:25,RKT,Materials,80,6064.326171875,6142.74,5985.91,6112.03,1.29,1.29,61.7,1.0,78.4123,,18.3,,RSI 50 | BB %B 0.27 | EMA20>EMA50>SMA200 | Stoch 40/30 | OBV rising | Mom -0.2%,6116.39,NO,0.86,Backtest: Target missed. +0.9%
2025-11-27 16:25,JAM,FinServices,95,1136.0,1154.39,1117.61,1148.62,1.62,1.62,64.9,1.0,18.3891,,22.2,,RSI 57 | MACD bullish crossover | EMA20>EMA50>SMA200 | Stoch 77/70 | OBV rising | Mom +1.2%,1128.0,NO,-0.7,Backtest: Target missed. -0.7%
2025-11-27 16:25,MGAM,Industrials,90,198.39999389648438,204.58,192.22,203.56,3.11,3.11,63.8,1.0,6.1816,,20.6,,RSI 46 | MACD bullish crossover | BB %B 0.46 | Stoch 62/49 | OBV rising | Mom +2.2%,208.0,YES,4.84,Backtest: Target reached. +4.8%
2025-11-27 16:25,INF,Media,85,946.7999877929688,965.3,928.3,960.47,1.95,1.95,62.8,1.0,18.501,,19.1,,RSI 54 | BB %B 0.50 | EMA20>EMA50>SMA200 | Stoch 52/49 | OBV rising | Mom +2.6%,940.8,NO,-0.63,Backtest: Target missed. -0.6%
2025-11-27 16:25,NXT,Retail,85,14110.5009765625,14376.5,13844.5,14304.62,1.89,1.89,62.8,1.0,265.9977,,19.1,,RSI 58 | BB %B 0.48 | EMA20>EMA50>SMA200 | Stoch 46/40 | OBV rising | Mom +1.8%,14196.34,NO,0.61,Backtest: Target missed. +0.6%
2025-11-27 16:25,SBRY,ConsStaples,85,329.20001220703125,338.88,319.52,337.19,2.94,2.94,62.8,1.0,9.6787,,19.1,,RSI 49 | BB %B 0.44 | EMA20>EMA50>SMA200 | Stoch 36/26 | OBV rising | Mom +2.9%,311.0,NO,-5.53,Backtest: Target missed. -5.5%
2025-12-04 16:25,LAND,FinServices,95,614.0,628.74,599.26,625.6,2.4,2.4,64.9,1.0,14.7449,,21.5,,RSI 52 | MACD bullish crossover | EMA20>EMA50>SMA200 | Stoch 68/55 | OBV rising | Mom +1.5%,585.5,NO,-4.64,Backtest: Target missed. -4.6%
2025-12-04 16:25,RIO,Mining,95,5492.05908203125,5608.51,5375.61,5580.47,2.12,2.12,64.9,1.0,116.4488,,21.5,,RSI 61 | MACD bullish crossover | EMA20>EMA50>SMA200 | Stoch 65/60 | OBV rising | Mom +2.6%,5682.99,YES,3.48,Backtest: Target reached. +3.5%
2025-12-04 16:25,SYNC,Pharma,90,96.80000305175781,99.37,94.23,98.87,2.65,2.65,63.8,1.0,2.5731,,19.9,,RSI 50 | MACD bullish crossover | BB %B 0.49 | Stoch 56/44 | OBV rising | Mom +3.6%,95.1,NO,-1.76,Backtest: Target missed. -1.8%
2025-12-04 16:25,DCC,Industrials,85,5020.0,5103.2,4936.8,5077.68,1.66,1.66,62.8,1.0,83.2007,,18.5,,RSI 58 | MACD rising | EMA20>EMA50>SMA200 | Stoch 77/72 | OBV rising | Mom +1.5%,5145.0,YES,2.49,Backtest: Target reached. +2.5%
2025-12-04 16:25,HSBA,Banking,85,1074.4000244140625,1091.42,1057.38,1085.96,1.58,1.58,62.8,1.0,17.0221,,18.5,,RSI 54 | BB %B 0.50 | EMA20>EMA50>SMA200 | Stoch 61/58 | OBV rising | Mom +0.9%,1112.6,YES,3.56,Backtest: Target reached. +3.6%
2025-12-11 16:25,BEZ,Insurance,90,802.5,823.02,781.98,818.9,2.56,2.56,63.8,1.0,20.5176,,22.3,,RSI 41 | MACD bullish crossover | BB %B 0.41 | Stoch 45/32 | OBV rising | Mom +2.9%,834.5,YES,3.99,Backtest: Target reached. +4.0%
