run_date,ticker,sector,score,entry_price,target_price,stop_price,limit_price,exit_price,exit_day,exit_reason,return_pct,prob,allocation_pct
2025-04-07 20:11,BA,Industrials,58,1497.21,1562.13,1432.3,1554.32,1692.68,5,friday_close,13.06,57.1,17.0
2025-04-14 20:11,HWDN,Materials,90,704.46,726.48,682.44,722.85,723.46,3,friday_close,2.7,63.8,21.6
2025-04-14 20:11,GNC,ConsStaples,90,176.78,186.15,167.41,185.22,176.98,3,friday_close,0.11,63.8,21.6
2025-04-14 20:11,CURY,Retail,85,98.03,102.26,93.8,101.75,99.58,3,friday_close,1.58,62.8,20.1
2025-04-14 20:11,HMSO,FinServices,80,242.25,251.41,233.1,250.15,254.25,3,friday_close,4.95,61.7,18.3
2025-04-14 20:11,RHIM,Industrials,80,3032.93,3193.38,2872.48,3177.41,3007.95,3,friday_close,-0.82,61.7,18.3
2025-04-21 20:11,AVON,Industrials,90,1399.86,1479.14,1320.58,1471.74,1345.87,5,friday_close,-3.86,63.8,20.9
2025-04-21 20:11,SDP,FinServices,90,491.4,502.95,479.86,500.44,501.9,5,friday_close,2.14,63.8,20.9
2025-04-21 20:11,CCEP,ConsStaples,85,6767.99,6944.27,6591.71,6909.55,6568.05,5,friday_close,-2.95,62.8,19.4
2025-04-21 20:11,HSX,Insurance,85,1170.68,1207.67,1133.69,1201.63,1097.91,5,friday_close,-6.22,62.8,19.4
2025-04-21 20:11,LLOY,Banking,85,70.31,72.82,67.8,72.46,72.89,5,friday_close,3.67,62.8,19.4
2025-04-28 20:11,SAGA,FinServices,85,138.8,147.27,130.33,146.53,133.4,4,friday_close,-3.89,62.8,21.5
2025-04-28 20:11,SN,Pharma,80,997.92,1022.98,972.85,1017.87,1080.41,4,friday_close,8.27,61.7,19.6
2025-04-28 20:11,RS1,Industrials,80,513.8,534.7,492.9,532.03,526.29,4,friday_close,2.43,61.7,19.6
2025-04-28 20:11,SSPG,Retail,80,143.27,149.05,137.48,148.3,155.86,4,friday_close,8.79,61.7,19.6
2025-04-28 20:11,WOSG,ConsStaples,80,360.8,382.73,338.87,380.82,349.4,4,friday_close,-3.16,61.7,19.6
2025-05-05 20:11,BATS,ConsStaples,75,3223.49,3285.32,3161.66,3268.89,3084.56,5,friday_close,-4.31,60.7,20.0
2025-05-05 20:11,CTEC,Pharma,75,261.98,268.35,255.62,267.01,261.98,5,friday_close,0.0,60.7,20.0
